0,2.91
1,5.15
2,6.81
3,8.91
4,10.69
5,12.65
6,15.22
7,16.61
8,19.28
9,21.19
10,22.87
11,24.73
12,26.79
13,29.13
14,31.25
15,32.54
16,34.55
17,36.99
18,39.25
19,41.49
20,42.77
21,45.11
22,47.12
23,48.67
24,51.29
25,53.11
26,54.72
27,56.63
28,58.99
29,61.21
30,63.11
31,64.58
32,67.31
33,69.17
34,71.3
35,72.97
36,75.33
37,77.38
38,78.8
39,80.62
40,83.24
41,85.28
42,86.83
43,88.73
44,91.08
45,93.33
46,95.26
47,97.09
48,99.27
49,101.35
50,102.75
51,104.68
52,107.48
53,108.66
54,111.5
55,113.29
56,115.38
57,116.86
58,119.03
59,121.22
60,123.45
61,125.43
62,126.89
63,129.28
64,130.55
65,132.65
66,135.06
67,136.76
68,139.12
69,141.15
70,143.07
71,145.19
72,147.13
73,148.81
74,151.13
75,153.18
76,154.96
77,156.9
78,158.96
79,160.65
80,163.37
81,164.99
82,166.97
83,168.67
84,171.11
85,172.58
86,174.92
87,176.89
88,179.14
89,181.36
90,182.99
91,184.93
92,186.94
93,188.97
94,191.19
95,192.75
96,195.17
97,197.08
98,199.07
99,200.85
